observationcode,obs_value,observationstatus,data_source
505,100,Adjusted,"Census of Population and Housing 2011"
506,98.1,Adjusted,"MICS 2011"
507,97.9,Adjusted,"MICS 2011"
508,98.2,Adjusted,"MICS 2011"
509,97.5,Adjusted,"MICS 2014"
510,64.9,Adjusted,"DHS 2017-18"
511,61.9,Adjusted,"DHS 2017-18"
512,58.8,Adjusted,"DHS 2017-18"
513,97.1,Adjusted,"MICS 2013"
514,98.4,Adjusted,"Encuesta Permanente de Hogeres 2017"
515,98.3,Adjusted,"Encuesta Permanente de Hogeres 2017"
516,92.4,Adjusted,"Indicadores de Educaci�n por Departamentos, 2004-14"
517,91.3,Adjusted,"Indicadores de Educaci�n por Departamentos, 2004-14"
518,91.9,Adjusted,"Indicadores de Educaci�n por Departamentos, 2004-14"
519,95.2,Adjusted,"DHS 2017"
520,94.3,Adjusted,"DHS 2017"
521,93.5,Adjusted,"DHS 2017"
522,96.7,Adjusted,"MICS 2012"
523,96.4,Adjusted,"MICS 2012"
524,96.1,Adjusted,"MICS 2012"
525,98.7,Adjusted,"MICS 2012"
526,98.4,Adjusted,"MICS 2012"
527,91.4,Adjusted,"Institute of Educational Sciences and UNICEF_2015-2016"
528,91.7,Adjusted,"Institute of Educational Sciences and UNICEF_2015-2016"
529,91.6,Adjusted,"Institute of Educational Sciences and UNICEF_2015-2016"
530,94.4,Adjusted,"DHS 2014-15"
531,93.3,Adjusted,"DHS 2014-15"
532,95.5,Adjusted,"DHS 2014-15"
533,99.2,Adjusted,"MICS 2012"
534,99.8,Adjusted,"MICS 2012"
535,94.1,Adjusted,"MICS 2014"
536,61,Adjusted,"DHS 2017"
537,63.1,Adjusted,"DHS 2017"
538,65.1,Adjusted,"DHS 2017"
539,98.8,Adjusted,"MICS 2014"
540,98.9,Adjusted,"MICS 2014"
541,84.4,Adjusted,"MICS 2017"
542,79.2,Adjusted,"MICS 2017"
543,81.8,Adjusted,"MICS 2017"
544,66,Adjusted,"DHS 2015"
545,65,Adjusted,"DHS 2015"
546,68,Adjusted,"DHS 2015"
547,98.9,Adjusted,"DHS 2016"
548,98.5,Adjusted,"DHS 2016"
549,21.1,Adjusted,"MICS 2010"
550,23.5,Adjusted,"MICS 2010"
551,25.8,Adjusted,"MICS 2010"
552,67.5,Adjusted,"MICS 2014"
553,68.1,Adjusted,"MICS 2014"
554,97.3,Adjusted,"DHS 2017"
555,98,Adjusted,"DHS 2017"
556,97.7,Adjusted,"DHS 2017"
557,94.6,Adjusted,"MICS 2015-16"
558,95,Adjusted,"MICS 2015-16"
559,94.8,Adjusted,"MICS 2015-16"
560,89.8,Adjusted,"DHS 2016"
561,90.3,Adjusted,"DHS 2016"
562,89.4,Adjusted,"DHS 2016"
563,86.7,Adjusted,"DHS 2013-14"
564,88.5,Adjusted,"DHS 2013-14"
565,90.3,Adjusted,"DHS 2013-14"
566,92.7,Adjusted,"DHS 2012"
567,92.5,Adjusted,"DHS 2012"
568,92.9,Adjusted,"DHS 2012"
569,96.9,Adjusted,"MICS 2018"
570,96.8,Adjusted,"MICS 2018"
571,96.6,Adjusted,"DHS style 2013"
572,94.3,Adjusted,"DHS style 2013"
573,95.4,Adjusted,"DHS style 2013"
574,98.1,Adjusted,"MICS 2015-16"
575,98.4,Adjusted,"MICS 2015-16"
576,97.7,Adjusted,"MICS 2015-16"
577,84.8,Adjusted,"DHS 2016"
578,84.2,Adjusted,"DHS 2016"
579,85.4,Adjusted,"DHS 2016"
580,99.6,Adjusted,"MICS 2012"
581,78.1,Adjusted,"DHS 2015-16"
582,83.4,Adjusted,"DHS 2015-16"
583,80.8,Adjusted,"DHS 2015-16"
584,96.5,Adjusted,"MICS 2012-13"
585,97.8,Adjusted,"MICS 2012-13"
586,97.1,Adjusted,"MICS 2012-13"
587,76.3,Adjusted,"DHS 2013"
588,78,Adjusted,"DHS 2013"
589,77.2,Adjusted,"DHS 2013"
590,97.6,Adjusted,"MICS 2014"
591,80.3,Adjusted,"MICS 2013"
592,76.4,Adjusted,"MICS 2013"
593,72.4,Adjusted,"MICS 2013"
594,85.9,Adjusted,"DHS 2013-14"
595,88.1,Adjusted,"DHS 2013-14"
