observablecode,countrycode,indicatorcode,observationcode,timecode
1337,20,14,1239,14
1338,20,15,1240,14
1339,20,13,1241,14
1340,105,14,1242,1
1341,105,13,1243,1
1342,105,15,1244,1
1343,21,13,1245,1
1344,21,14,1246,1
1345,21,15,1247,1
1346,22,15,1248,6
1347,22,14,1249,6
1348,22,13,1250,6
1349,23,15,1251,13
1350,23,13,1252,13
1351,23,14,1253,13
1352,24,15,1254,7
1353,24,14,1255,7
1354,24,13,1256,7
1355,25,13,1257,12
1356,25,14,1258,12
1357,25,15,1259,12
1358,26,13,1260,15
1359,26,15,1261,15
1360,26,14,1262,15
1361,27,15,1263,14
1362,27,14,1264,14
1363,27,13,1264,14
1364,28,15,1265,16
1365,28,13,1266,16
1366,28,14,1267,16
1367,29,13,1268,12
1368,29,14,1269,12
1369,29,15,1270,12
1370,30,15,1271,5
1371,30,14,1272,5
1372,30,13,1273,5
1373,31,14,1274,12
1374,31,13,1275,12
1375,31,15,1276,12
1376,32,13,1277,12
1377,32,15,1278,12
1378,32,14,1279,12
1379,33,13,1280,12
1380,33,14,1281,12
1381,33,15,1282,12
1382,34,15,1283,15
1383,34,13,1284,15
1384,34,14,1285,15
1385,35,14,1286,6
1386,35,13,1287,6
1387,35,15,1288,6
1388,36,14,1289,17
1389,36,13,1290,17
1390,36,15,1291,17
1391,37,15,1292,10
1392,37,13,1293,10
1393,37,14,1294,10
1394,38,15,1295,12
1395,38,13,1296,12
1396,38,14,1297,12
1397,39,13,1298,13
1398,39,15,1299,13
1399,39,14,1300,13
1400,40,14,1301,15
1401,40,13,1302,15
1402,40,15,1303,15
1403,41,15,1304,12
1404,41,13,1305,12
1405,41,14,1306,12
1406,42,14,1307,12
1407,42,13,1308,12
1408,42,15,1309,12
1409,43,15,1310,11
1410,43,14,1311,11
1411,43,13,1312,11
1412,44,15,1313,12
1413,44,14,1314,12
1414,44,13,1315,12
1415,45,13,1316,3
1416,45,15,1317,3
1417,45,14,1318,3
1418,46,14,1319,10
1419,46,15,1320,10
1420,46,13,1321,10
1421,47,13,1322,10
1422,47,15,1323,10
1423,47,14,1324,10
1424,48,13,1325,7
1425,48,14,1325,7
1426,48,15,1326,7
1427,49,15,1327,8
1428,49,13,1328,8
1429,49,14,1329,8
1430,50,13,1330,1
1431,50,14,1331,1
1432,50,15,1330,1
1433,51,13,1332,12
1434,51,15,1333,12
1435,51,14,1334,12
1436,52,15,1335,10
1437,52,13,1335,10
1438,52,14,1336,10
1439,53,15,1337,14
1440,53,14,1338,14
1441,53,13,1339,14
1442,54,15,1340,10
1443,54,13,1341,10
1444,54,14,1342,10
1445,55,13,1343,17
1446,55,15,1344,17
1447,55,14,1345,17
1448,56,14,1346,10
1449,56,13,1347,10
1450,56,15,1348,10
1451,57,15,1349,3
1452,57,14,1350,3
1453,57,13,1351,3
1454,58,13,1352,11
1455,58,15,1353,11
1456,58,14,1354,11
1457,59,15,1355,1
1458,59,14,1356,1
1459,59,13,1357,1
1460,60,14,1358,1
1461,60,15,1359,1
1462,60,13,1360,1
1463,61,13,1361,10
1464,61,15,1362,10
1465,61,14,1363,10
1466,62,13,1364,16
1467,62,15,1365,16
1468,62,14,1366,16
1469,63,15,1367,17
1470,63,14,1368,17
1471,63,13,1369,17
1472,64,15,1370,7
1473,64,13,1371,7
1474,64,14,1372,7
1475,65,13,1373,1
1476,65,14,1374,1
1477,65,15,1375,1
1478,66,14,1376,17
1479,66,13,1377,17
1480,66,15,1378,17
1481,67,15,1379,15
1482,67,13,1380,15
1483,67,14,1381,15
1484,68,13,1382,6
1485,68,15,1383,6
1486,68,14,1384,6
1487,69,15,1385,10
1488,69,14,1386,10
1489,69,13,1387,10
1490,70,13,1388,7
1491,70,15,1389,7
1492,70,14,1390,7
1493,71,14,1391,8
1494,71,13,1392,8
1495,71,15,1393,8
1496,72,14,1394,17
1497,72,13,1395,17
1498,72,15,1396,17
1499,73,13,1397,14
1500,73,15,1398,14
1501,73,14,1399,14
1502,74,14,1400,6
1503,74,15,1400,6
1504,74,13,1400,6
1505,75,15,1401,14
1506,75,13,1402,14
1507,75,14,1403,14
1508,77,13,1404,6
1509,77,15,1202,6
1510,77,14,1405,6
1511,78,13,1406,13
1512,78,14,1407,13
1513,78,15,1408,13
1514,79,13,1409,6
1515,79,14,1410,6
1516,79,15,1411,6
1517,80,14,1412,12
1518,80,13,1413,12
1519,80,15,1414,12
1520,81,14,1415,14
1521,81,13,1416,14
1522,81,15,1417,14
1523,82,15,1418,12
1524,82,14,1418,12
1525,82,13,1418,12
1526,83,14,1419,14
1527,83,15,1420,14
1528,83,13,1421,14
1529,84,15,1422,15
1530,84,13,1423,15
1531,84,14,1424,15
1532,85,15,1425,9
1533,85,13,1426,9
1534,85,14,1427,9
1535,86,14,1428,12
1536,86,13,1429,12
1537,86,15,1430,12
1538,87,14,1431,12
1539,87,15,1432,12
1540,87,13,1433,12
1541,88,13,1434,10
1542,88,15,1435,10
1543,88,14,1436,10
1544,89,15,1437,14
1545,89,14,1438,14
1546,89,13,1439,14
1547,90,14,1440,3
1548,90,15,1441,3
1549,90,13,1442,3
1550,91,13,1443,15
1551,91,15,1444,15
1552,91,14,1445,15
1553,92,15,1446,16
1554,92,14,1447,16
1555,92,13,1448,16
1556,93,13,1449,10
1557,93,14,1450,10
1558,93,15,1451,10
1559,116,15,1452,17
1560,116,14,1453,17
1561,116,13,1454,17
1562,94,14,1455,3
1563,94,13,1455,3
1564,94,15,1455,3
1565,95,13,1456,15
1566,95,14,1457,15
1567,95,15,1458,15
1568,96,14,1459,6
1569,96,13,1459,6
1570,96,15,1459,6
1571,97,14,1460,1
1572,97,13,1461,1
1573,97,15,1462,1
1574,98,14,1463,2
1575,98,15,1464,2
1576,98,13,1465,2
1577,99,14,1466,12
1578,99,13,1467,12
1579,99,15,1468,12
1580,100,14,1469,17
1581,100,13,1470,17
1582,100,15,1471,17
1583,101,13,1472,16
1584,101,14,1266,16
1585,101,15,1473,16
1586,102,15,1474,5
1587,102,14,1475,5
1588,102,13,1476,5
1589,1,16,1477,1
1590,1,17,1478,1
1591,1,18,1479,1
1592,118,18,1480,8
1593,118,16,1481,8
1594,118,17,1482,8
1595,2,18,1483,2
1596,2,16,1484,2
1597,2,17,1485,2
1598,3,17,1486,3
1599,3,16,1487,3
1600,3,18,1488,3
1601,4,18,1489,4
1602,4,16,1490,4
1603,4,17,1491,4
1604,5,16,1492,3
1605,5,17,1493,3
1606,5,18,1494,3
1607,6,17,1495,5
1608,6,16,1496,5
1609,6,18,1497,5
1610,7,17,1498,6
1611,7,18,1499,6
1612,7,16,1500,6
1613,8,16,1501,6
1614,8,18,1502,6
1615,8,17,1503,6
1616,9,17,1504,3
1617,9,18,1505,3
1618,9,16,1506,3
1619,10,17,1507,8
1620,10,16,1508,8
1621,10,18,1509,8
1622,11,18,1510,9
1623,11,17,1511,9
1624,11,16,1512,9
1625,12,17,1513,4
1626,12,18,1514,4
1627,12,16,1515,4
1628,104,16,1516,14
1629,104,18,1517,14
1630,104,17,1518,14
1631,13,17,1519,10
1632,13,16,1520,10
1633,13,18,1521,10
1634,14,16,1522,9
1635,14,18,1523,9
1636,14,17,1524,9
1637,15,18,1525,11
1638,15,17,1526,11
1639,15,16,1527,11
1640,16,18,1528,12
1641,16,16,1529,12
1642,16,17,1530,12
1643,17,16,1531,12
1644,17,18,1532,12
1645,17,17,1533,12
1646,18,16,1534,9
1647,18,17,1535,9
1648,18,18,1536,9
1649,19,17,1537,13
1650,19,18,1538,13
1651,19,16,1539,13
1652,20,17,1540,14
1653,20,18,1541,14
1654,20,16,1542,14
1655,105,17,1543,1
1656,105,16,1544,1
1657,105,18,1545,1
1658,21,16,1246,1
1659,21,17,1546,1
1660,21,18,1547,1
1661,22,18,1548,6
1662,22,17,1549,6
1663,22,16,1550,6
1664,23,18,1551,13
1665,23,16,1552,13
1666,23,17,1553,13
1667,24,18,1554,7
1668,24,17,1555,7
1669,24,16,1556,7
1670,25,16,1557,12
1671,25,17,1558,12
1672,25,18,1559,12
1673,26,16,1560,15
1674,26,18,1561,15
1675,26,17,1562,15
1676,27,18,1563,14
1677,27,17,1564,14
1678,27,16,1263,14
1679,28,18,1565,16
1680,28,16,1566,16
1681,28,17,1567,16
1682,29,16,1568,12
1683,29,17,1569,12
1684,29,18,1570,12
1685,30,18,1571,5
1686,30,17,1572,5
1687,30,16,1573,5
1688,31,17,1574,12
1689,31,16,1575,12
1690,31,18,1576,12
1691,32,16,1577,12
1692,32,18,1578,12
1693,32,17,1579,12
1694,33,16,1580,12
1695,33,17,1581,12
1696,33,18,1582,12
1697,34,18,1583,15
1698,34,17,1584,15
1699,34,16,1585,15
1700,35,17,1586,6
1701,35,16,1586,6
1702,35,18,1587,6
1703,36,17,1588,17
1704,36,16,1589,17
1705,36,18,1590,17
1706,37,18,1591,10
1707,37,17,1592,10
1708,37,16,1593,10
1709,38,18,1594,12
1710,38,16,1595,12
1711,38,17,1596,12
1712,39,16,1597,13
1713,39,18,1598,13
1714,39,17,1599,13
1715,40,17,1600,15
1716,40,16,1601,15
1717,40,18,1602,15
1718,41,18,1603,12
1719,41,16,1604,12
1720,41,17,1605,12
1721,42,17,1606,12
1722,42,16,1607,12
1723,42,18,1608,12
1724,43,18,1609,11
1725,43,17,1610,11
1726,43,16,1611,11
1727,44,18,1612,12
1728,44,17,1613,12
1729,44,16,1614,12
1730,45,16,1615,3
1731,45,18,1616,3
1732,45,17,1617,3
1733,46,17,1618,10
1734,46,18,1619,10
1735,46,16,1620,10
1736,47,16,1341,10
1737,47,18,1621,10
1738,47,17,1622,10
1739,48,16,1623,7
1740,48,17,1624,7
1741,48,18,1625,7
1742,49,18,1626,8
1743,49,17,1627,8
1744,49,16,1628,8
1745,50,16,1629,1
1746,50,17,1630,1
1747,50,18,1631,1
1748,51,16,1632,12
1749,51,18,1633,12
1750,51,17,1634,12
1751,52,18,1635,10
1752,52,17,1636,10
1753,52,16,1637,10
1754,53,18,1638,14
1755,53,16,1639,14
1756,53,17,1640,14
1757,54,18,1641,10
1758,54,16,1642,10
1759,54,17,1643,10
1760,55,16,1644,17
1761,55,18,1645,17
1762,55,17,1646,17
1763,56,17,1647,10
1764,56,16,1648,10
1765,56,18,1649,10
1766,57,18,1650,3
1767,57,17,1651,3
1768,57,16,1652,3
1769,58,16,1653,11
1770,58,18,1654,11
1771,58,17,1655,11
1772,59,18,1656,1
1773,59,17,1657,1
1774,59,16,1658,1
1775,60,17,1659,1
1776,60,18,1660,1
1777,60,16,1661,1
1778,61,16,1662,10
1779,61,18,1663,10
1780,61,17,1664,10
1781,62,18,1665,16
1782,62,16,1666,16
1783,62,17,1667,16
1784,63,18,1668,17
1785,63,17,1669,17
1786,63,16,1670,17
1787,64,18,1671,7
1788,64,16,1672,7
1789,64,17,1673,7
1790,65,16,1674,1
1791,65,18,1675,1
1792,65,17,1676,1
1793,66,17,1677,17
1794,66,16,1678,17
1795,66,18,1679,17
1796,67,18,1680,15
1797,67,16,1681,15
1798,67,17,1682,15
1799,68,16,1683,6
1800,68,18,1684,6
1801,68,17,1685,6
1802,69,18,1686,10
1803,69,17,1687,10
1804,69,16,1688,10
1805,70,16,1689,7
1806,70,18,1690,7
1807,70,17,1691,7
1808,71,17,1692,8
1809,71,16,1693,8
1810,71,18,1694,8
1811,72,17,1695,17
1812,72,16,1696,17
1813,72,18,1697,17
1814,73,16,1698,14
1815,73,18,1699,14
1816,73,17,1700,14
1817,74,17,1701,6
1818,74,18,1702,6
1819,74,16,1703,6
1820,75,18,1704,14
1821,75,16,1705,14
1822,75,17,1706,14
1823,77,16,1707,6
1824,77,18,1708,6
1825,77,17,1709,6
1826,78,16,1710,13
1827,78,17,1711,13
1828,78,18,1712,13
1829,79,16,1713,6
1830,79,17,1714,6
1831,79,18,1715,6
1832,80,17,1716,12
1833,80,16,1717,12
1834,80,18,1718,12
1835,81,17,1719,14
1836,81,16,1720,14
1837,81,18,1721,14
1838,82,18,1722,12
1839,82,16,1723,12
1840,82,17,1724,12
1841,83,17,1725,14
1842,83,18,1726,14
1843,83,16,1727,14
1844,84,18,1682,15
1845,84,16,1728,15
1846,84,17,1729,15
1847,85,18,1730,9
1848,85,16,1731,9
1849,85,17,1732,9
1850,86,17,1733,12
1851,86,16,1734,12
1852,86,18,1279,12
1853,87,17,1735,12
1854,87,18,1736,12
1855,87,16,1737,12
1856,88,16,1738,10
1857,88,18,1348,10
1858,88,17,1739,10
1859,89,18,1740,14
1860,89,17,1741,14
1861,89,16,1742,14
1862,90,17,1743,3
1863,90,18,1744,3
1864,90,16,1745,3
1865,91,16,1746,15
1866,91,18,1747,15
1867,91,17,1748,15
1868,92,18,1749,16
1869,92,16,1750,16
1870,92,17,1751,16
1871,93,16,1752,10
1872,93,17,1753,10
1873,93,18,1754,10
1874,116,18,1755,17
1875,116,17,1756,17
1876,116,16,1757,17
1877,94,17,1758,3
1878,94,16,1759,3
1879,94,18,1760,3
1880,95,16,1761,15
1881,95,17,1762,15
1882,95,18,1763,15
1883,96,17,1499,6
1884,96,16,1764,6
1885,96,18,1764,6
1886,97,17,1765,3
1887,97,16,1766,3
1888,97,18,1767,3
1889,98,17,1768,2
1890,98,18,1769,2
1891,98,16,1770,2
1892,99,17,1433,12
1893,99,16,1771,12
1894,99,18,1772,12
1895,100,17,1773,17
1896,100,16,1774,17
1897,100,18,1344,17
1898,101,16,1775,16
1899,101,17,1776,16
1900,101,18,1777,16
1901,102,18,1778,5
1902,102,17,1779,5
1903,102,16,1780,5
1904,1,19,1781,1
1905,1,20,1782,1
1906,1,21,1783,1
1907,118,21,1784,8
1908,118,19,1784,8
1909,118,20,1785,8
1910,2,21,1786,2
1911,2,19,1787,2
1912,2,20,1788,2
1913,3,20,1789,3
1914,3,19,1651,3
1915,3,21,1790,3
1916,4,21,1791,4
1917,4,19,1792,4
1918,4,20,1793,4
1919,5,19,1794,3
1920,5,20,1795,3
1921,5,21,1796,3
1922,6,20,1797,5
1923,6,19,1798,5
1924,6,21,1799,5
1925,7,20,1800,6
1926,7,21,1801,6
1927,7,19,1801,6
1928,8,19,1802,6
1929,8,21,1803,6
1930,8,20,1804,6
1931,9,20,1805,3
1932,9,21,1806,3
1933,9,19,1807,3
1934,10,20,1808,8
1935,10,19,1809,8
1936,10,21,1810,8
1937,11,21,1811,9
1938,11,20,1812,9
1939,11,19,1813,9
1940,12,20,1814,4
1941,12,21,1815,4
1942,12,19,1816,4
1943,104,19,1817,14
1944,104,20,1818,14
1945,104,21,1819,14
1946,13,20,1820,10
1947,13,19,1821,10
1948,13,21,1822,10
1949,14,19,1823,9
1950,14,21,1824,9
1951,14,20,1825,9
1952,15,21,1826,11
1953,15,20,1827,11
1954,15,19,1828,11
1955,16,21,1829,12
1956,16,20,1830,12
1957,16,19,1831,12
1958,17,19,1832,12
1959,17,21,1833,12
1960,17,20,1532,12
1961,18,19,1834,9
1962,18,20,1835,9
1963,18,21,1836,9
1964,19,21,1837,13
1965,19,20,1838,13
1966,19,19,1839,13
1967,20,20,1840,14
1968,20,21,1841,14
1969,20,19,1842,14
1970,105,20,1843,1
1971,105,19,1843,1
1972,105,21,1843,1
1973,21,19,1844,1
1974,21,20,1845,1
1975,21,21,1846,1
1976,22,21,1847,6
1977,22,20,1848,6
1978,22,19,1849,6
1979,23,21,1850,13
1980,23,19,1851,13
1981,23,20,1852,13
1982,24,20,1853,7
1983,24,21,1854,7
1984,24,19,1855,7
1985,26,19,1856,15
1986,26,21,1857,15
1987,26,20,1858,15
1988,27,21,1859,14
1989,27,20,1860,14
1990,27,19,1861,14
1991,28,21,1862,16
1992,28,20,1863,16
1993,28,19,1864,16
1994,29,19,1865,12
1995,29,21,1866,12
1996,29,20,1867,12
1997,30,21,1868,5
1998,30,20,1869,5
1999,30,19,1870,5
2000,31,19,1871,12
2001,31,20,1872,12
2002,31,21,1873,12
2003,32,19,1874,12
2004,32,21,1875,12
2005,32,20,1876,12
2006,33,19,1877,12
2007,33,20,1878,12
2008,33,21,1879,12
2009,34,21,1880,15
2010,34,19,1881,15
2011,34,20,1882,15
2012,35,20,1883,6
2013,35,19,1884,6
2014,35,21,1885,6
2015,36,20,1886,10
2016,36,19,1887,10
2017,36,21,1888,10
2018,37,21,1889,10
2019,37,20,1890,10
2020,37,19,1891,10
2021,38,21,1892,12
2022,38,19,1892,12
2023,38,20,1892,12
2024,39,19,1893,13
2025,39,21,1894,13
2026,39,20,1895,13
2027,40,19,1896,15
2028,40,21,1897,15
2029,40,20,1857,15
2030,41,21,1898,12
2031,41,19,1899,12
2032,41,20,1900,12
2033,42,20,1901,12
2034,42,19,1902,12
2035,42,21,1903,12
2036,43,21,1904,11
2037,43,20,1905,11
2038,43,19,1906,11
2039,44,21,1907,12
2040,44,20,1908,12
2041,44,19,1909,12
2042,45,19,1910,3
2043,45,21,1911,3
2044,45,20,1912,3
2045,46,20,1913,10
2046,46,21,1914,10
2047,46,19,1915,10
2048,47,19,1916,10
2049,47,21,1917,10
2050,47,20,1918,10
2051,48,19,1919,7
2052,48,20,1920,7
2053,48,21,1919,7
2054,49,21,1921,8
2055,49,20,1922,8
2056,49,19,1923,8
2057,50,19,1924,1
2058,50,20,1925,1
2059,50,21,1926,1
2060,51,19,1927,12
2061,51,21,1928,12
2062,51,20,1929,12
2063,52,21,1891,10
2064,52,19,1930,10
2065,52,20,1890,10
2066,53,21,1931,14
2067,53,19,1932,14
2068,53,20,1933,14
2069,54,21,1934,10
2070,54,19,1935,10
2071,54,20,1936,10
2072,55,21,1937,17
2073,55,19,1938,17
2074,55,20,1939,17
2075,56,20,1940,10
2076,56,19,1941,10
2077,56,21,1942,10
2078,57,21,1943,3
2079,57,20,1944,3
2080,57,19,1944,3
2081,58,19,1945,11
2082,58,20,1946,11
2083,58,21,1947,11
2084,59,21,1948,1
2085,59,20,1949,1
2086,59,19,1950,1
2087,60,20,1359,1
2088,60,21,1951,1
2089,60,19,1952,1
2090,61,19,1953,10
2091,61,21,1954,10
2092,61,20,1955,10
2093,62,19,1956,10
2094,62,21,1957,10
2095,62,20,1958,10
2096,63,21,1959,17
2097,63,19,1960,17
2098,63,20,1961,17
2099,64,21,1962,7
2100,64,19,1963,7
2101,64,20,1964,7
2102,65,19,1965,3
2103,65,20,1966,3
2104,65,21,1967,3
2105,66,20,1968,17
2106,66,19,1969,17
2107,66,21,1970,17
2108,67,21,1971,15
2109,67,19,1972,15
2110,67,20,1973,15
2111,68,19,1974,6
2112,68,21,1975,6
2113,68,20,1976,6
2114,69,21,1977,10
2115,69,20,1978,10
2116,69,19,1979,10
2117,70,19,1980,7
2118,70,21,1981,7
2119,70,20,1982,7
2120,71,20,1983,8
2121,71,19,1984,8
2122,71,21,1985,8
2123,72,20,1986,17
2124,72,19,1987,17
2125,72,21,1988,17
2126,73,19,1989,14
2127,73,21,1990,14
2128,73,20,1991,14
2129,74,20,1992,6
2130,74,21,1993,6
2131,74,19,1992,6
2132,75,21,1994,14
2133,75,19,1995,14
2134,75,20,1996,14
2135,76,21,1997,6
2136,76,19,1998,6
2137,76,20,1999,6
2138,77,19,1998,6
2139,77,21,2000,6
2140,77,20,2001,6
2141,113,21,2002,3
2142,113,20,2003,3
2143,113,19,2004,3
2144,78,19,2005,13
2145,78,20,2006,13
2146,78,21,2007,13
2147,79,19,1800,6
2148,79,20,1801,6
2149,79,21,2008,6
2150,80,20,2009,12
2151,80,19,2010,12
2152,80,21,2011,12
2153,81,20,2012,14
2154,81,19,2013,14
2155,81,21,2014,14
2156,82,21,2015,12
2157,82,20,2016,12
2158,82,19,2017,12
2159,83,20,2018,14
2160,83,21,2019,14
2161,83,19,2020,14
2162,84,21,2021,15
2163,84,19,2022,15
2164,84,20,2023,15
2165,85,21,2024,9
2166,85,19,2025,9
2167,85,20,2026,9
2168,86,20,2027,12
2169,86,19,2028,12
2170,86,21,2029,12
2171,87,20,2030,12
2172,87,21,2031,12
2173,87,19,2032,12
2174,88,19,2033,10
2175,88,21,2034,10
2176,88,20,2035,10
2177,89,21,2036,14
2178,89,20,2037,14
2179,89,19,2038,14
2180,90,20,2039,3
2181,90,21,2039,3
2182,90,19,2039,3
2183,91,19,2040,15
2184,91,21,2041,15
2185,91,20,2042,15
2186,92,21,2043,16
2187,92,19,2044,16
2188,92,20,2045,16
2189,119,19,2046,7
2190,119,21,2047,7
2191,119,20,2048,7
2192,93,20,2049,10
2193,93,21,2050,10
2194,93,19,2051,10
2195,116,21,2052,17
2196,116,20,2053,17
2197,116,19,2054,17
2198,94,19,2055,3
2199,94,20,2055,3
2200,94,21,2055,3
2201,95,19,2056,15
2202,95,20,2057,15
2203,95,21,2058,15
2204,96,20,2059,6
2205,96,19,2060,6
2206,96,21,1800,6
2207,97,20,2061,3
2208,97,19,2062,3
2209,97,21,2062,3
2210,98,20,2063,2
2211,98,21,2064,2
2212,98,19,2065,2
2213,99,20,1717,12
2214,99,19,2066,12
2215,99,21,2067,12
2216,100,20,2068,17
2217,100,19,2069,17
2218,100,21,2070,17
2219,101,19,2071,16
2220,101,20,2072,16
2221,101,21,2073,16
2222,102,21,2074,5
2223,102,20,2075,5
2224,102,19,2076,5
2225,1,22,2077,1
2226,1,23,2078,1
2227,1,24,2079,1
2228,118,24,2080,8
2229,118,22,2081,8
2230,118,23,2082,8
2231,2,24,2083,2
2232,2,22,2084,2
2233,2,23,2085,2
2234,3,23,2086,3
2235,3,22,2087,3
2236,3,24,2088,3
2237,4,24,2089,4
2238,4,22,1515,4
2239,4,23,2090,4
2240,5,22,2091,3
2241,5,23,2092,3
2242,5,24,2093,3
2243,6,23,2094,5
2244,6,22,2095,5
2245,6,24,2096,5
2246,7,22,2097,6
2247,7,23,2098,6
2248,7,24,2099,6
2249,8,22,2100,6
2250,8,24,2101,6
2251,8,23,1204,6
2252,9,23,2102,3
2253,9,24,2103,3
2254,9,22,2104,3
2255,10,23,2105,8
2256,10,22,2106,8
2257,10,24,2107,8
2258,11,24,2108,9
2259,11,23,2109,9
2260,11,22,2110,9
2261,12,23,2111,6
2262,12,24,2112,6
2263,12,22,2113,6
2264,104,22,2114,14
2265,104,23,2115,14
2266,104,24,2116,14
2267,13,23,2117,10
2268,13,22,2118,10
2269,13,24,2119,10
2270,14,22,2120,9
2271,14,24,2121,9
2272,14,23,2122,9
2273,15,24,2123,11
2274,15,23,2124,11
2275,15,22,2125,11
2276,16,24,2126,12
2277,16,22,2127,12
2278,16,23,2128,12
2279,17,22,2129,12
2280,17,24,2130,12
2281,17,23,1269,12
2282,18,22,2131,9
2283,18,23,2132,9
2284,18,24,2133,9
2285,19,23,2134,13
2286,19,24,2135,13
2287,19,22,2136,13
2288,20,23,2137,14
2289,20,24,1240,14
2290,20,22,2138,14
2291,105,23,2139,1
2292,105,22,2139,1
2293,105,24,2139,1
2294,21,22,2140,1
2295,21,23,2141,1
2296,21,24,2142,1
2297,22,23,2143,6
2298,22,24,2144,6
2299,22,22,2145,6
2300,23,24,2146,13
2301,23,22,2147,13
2302,23,23,2148,13
2303,24,24,2149,7
2304,24,23,2150,7
2305,24,22,2151,7
2306,25,22,2152,12
2307,25,23,2153,12
2308,25,24,2154,12
2309,26,22,2155,15
2310,26,24,2156,15
2311,26,23,2157,15
2312,27,24,1563,14
2313,27,23,1563,14
2314,27,22,1563,14
2315,28,24,2158,16
2316,28,22,2159,16
2317,28,23,2160,16
2318,29,22,2161,12
2319,29,23,2162,12
2320,29,24,2163,12
2321,30,24,2164,5
2322,30,23,2165,5
2323,30,22,2166,5
2324,31,23,2167,12
2325,31,22,2168,12
2326,31,24,2169,12
2327,32,22,2170,12
2328,32,24,2171,12
2329,32,23,2172,12
2330,33,22,2173,12
2331,33,23,2174,12
2332,33,24,2175,12
2333,34,24,2176,15
2334,34,22,2177,15
2335,34,23,2178,15
2336,35,23,2179,6
2337,35,22,2180,6
2338,35,24,2181,6
2339,36,23,2182,17
2340,36,22,2183,17
2341,36,24,2184,17
2342,37,24,2185,10
2343,37,22,2185,10
2344,37,23,2185,10
2345,38,24,2186,12
2346,38,22,2187,12
2347,38,23,2188,12
2348,39,22,2189,13
2349,39,24,2190,13
2350,39,23,2191,13
2351,40,23,2192,15
2352,40,22,2193,15
2353,40,24,2194,15
2354,41,24,2195,12
2355,41,22,2196,12
2356,41,23,2197,12
2357,42,23,2198,12
2358,42,22,2199,12
2359,42,24,1418,12
2360,43,24,2200,11
2361,43,23,2201,11
2362,43,22,2202,11
2363,44,24,2203,12
2364,44,23,2204,12
2365,44,22,2205,12
2366,45,22,2206,3
2367,45,24,2207,3
2368,45,23,2206,3
2369,46,23,2208,10
2370,46,24,2209,10
2371,46,22,2210,10
2372,47,22,2211,10
2373,47,24,2212,10
2374,47,23,2213,10
2375,48,22,2214,7
2376,48,23,2215,7
2377,48,24,2216,7
2378,49,24,2217,8
2379,49,22,2218,8
2380,49,23,2219,8
2381,50,22,2220,1
2382,50,23,1331,1
2383,50,24,2220,1
2384,51,22,2221,12
2385,51,24,2222,12
2386,51,23,2223,12
2387,52,24,2224,10
2388,52,22,2225,10
2389,52,23,1336,10
2390,53,24,2226,14
2391,53,22,2227,14
2392,53,23,2228,14
2393,54,24,2229,10
2394,54,22,2230,10
2395,54,23,2231,10
2396,55,22,2232,17
2397,55,24,2233,17
2398,55,23,2234,17
2399,56,23,2235,10
2400,56,22,2236,10
2401,56,24,2237,10
2402,57,24,2238,3
2403,57,23,2239,3
2404,57,22,2240,3
2405,58,22,2241,11
2406,58,24,2242,11
2407,58,23,2243,11
2408,59,24,2244,1
2409,59,23,2245,1
2410,59,22,2246,1
2411,60,23,2247,1
2412,60,24,2248,1
2413,60,22,2249,1
2414,61,22,2250,10
2415,61,24,2251,10
2416,61,23,2252,10
2417,62,22,2253,16
2418,62,24,2254,16
2419,62,23,2255,16
2420,63,24,2256,17
2421,63,23,2256,17
2422,63,22,2256,17
2423,64,24,2257,7
2424,64,22,2258,7
2425,64,23,2259,7
2426,65,22,2260,3
2427,65,23,2261,3
2428,65,24,2262,3
2429,66,23,2263,17
2430,66,22,2264,17
2431,66,24,2265,17
2432,67,24,2266,15
2433,67,22,2267,15
2434,67,23,2268,15
2435,68,22,2269,6
2436,68,24,1549,6
2437,68,23,2270,6
2438,69,24,2271,10
2439,69,23,2272,10
2440,69,22,2273,10
2441,70,22,2274,7
2442,70,24,2214,7
2443,70,23,2275,7
2444,71,23,2276,8
2445,71,22,2277,8
2446,71,24,2278,8
2447,72,23,2279,17
2448,72,22,2280,17
2449,72,24,2281,17
2450,73,22,2282,14
2451,73,24,2283,14
2452,73,23,2284,14
2453,74,23,2285,6
2454,74,24,2286,6
2455,74,22,2287,6
2456,75,24,2288,14
2457,75,22,2289,14
2458,75,23,2290,14
2459,77,22,2291,6
2460,77,24,2101,6
2461,77,23,2098,6
2462,78,22,2292,13
2463,78,23,2293,13
2464,78,24,2294,13
2465,79,22,2291,6
2466,79,23,2099,6
2467,79,24,2295,6
2468,80,23,2296,12
2469,80,22,2297,12
2470,80,24,2298,12
2471,81,23,2299,14
2472,81,22,2300,14
2473,81,24,2301,14
2474,82,24,2302,12
2475,82,23,2303,12
2476,82,22,2304,12
2477,83,24,2305,14
2478,83,23,2306,14
2479,83,22,2307,14
2480,84,24,2308,15
2481,84,22,2309,15
2482,84,23,2310,15
2483,85,24,2311,9
2484,85,22,2312,9
2485,85,23,2313,9
2486,86,23,2314,12
2487,86,22,2315,12
2488,86,24,2316,12
2489,87,23,2317,12
2490,87,24,2318,12
2491,87,22,2319,12
2492,88,22,2320,10
2493,88,24,2321,10
2494,88,23,2322,10
2495,89,24,2323,14
2496,89,23,2324,14
2497,89,22,2325,14
2498,90,23,2326,3
2499,90,24,2327,3
2500,90,22,2328,3
